b_TQ,b_LQ,state,Tstar,Mprime
3.91061453,0.11173184,1,5.8688270152e-01,-5.8412668255e-01
3.93854749,0.11173184,1,5.8537030755e-01,-5.8331620900e-01
3.96648045,0.11173184,1,5.8387045416e-01,-5.8251067375e-01
3.99441341,0.11173184,1,5.8238295978e-01,-5.8171004016e-01
4.02234637,0.11173184,1,5.8090764663e-01,-5.8091427168e-01
4.05027933,0.11173184,1,5.7944434060e-01,-5.8012333182e-01
4.07821229,0.11173184,1,5.7799287118e-01,-5.7933718420e-01
4.10614525,0.11173184,1,5.7655307134e-01,-5.7855579256e-01
4.13407821,0.11173184,1,5.7512477746e-01,-5.7777912077e-01
4.16201117,0.11173184,1,5.7370782921e-01,-5.7700713280e-01
4.18994413,0.11173184,1,5.7230206949e-01,-5.7623979281e-01
4.21787709,0.11173184,1,5.7090734433e-01,-5.7547706508e-01
4.24581006,0.11173184,1,5.6952350282e-01,-5.7471891409e-01
4.27374302,0.11173184,1,5.6815039702e-01,-5.7396530445e-01
4.30167598,0.11173184,1,5.6678788187e-01,-5.7321620097e-01
4.32960894,0.11173184,1,5.6543581515e-01,-5.7247156866e-01
4.35754190,0.11173184,1,5.6409405739e-01,-5.7173137270e-01
4.38547486,0.11173184,1,5.6276247180e-01,-5.7099557849e-01
4.41340782,0.11173184,1,5.6144092420e-01,-5.7026415160e-01
4.44134078,0.11173184,1,5.6012928295e-01,-5.6953705785e-01
4.46927374,0.11173184,1,5.5882741891e-01,-5.6881426324e-01
4.49720670,0.11173184,1,5.5753520535e-01,-5.6809573402e-01
4.52513966,0.11173184,1,5.5625251792e-01,-5.6738143663e-01
4.55307263,0.11173184,1,5.5497923457e-01,-5.6667133776e-01
4.58100559,0.11173184,1,5.5371523548e-01,-5.6596540431e-01
4.60893855,0.11173184,1,5.5246040306e-01,-5.6526360343e-01
4.63687151,0.11173184,1,5.5121462183e-01,-5.6456590248e-01
4.66480447,0.11173184,1,5.4997777844e-01,-5.6387226908e-01
4.69273743,0.11173184,1,5.4874976154e-01,-5.6318267107e-01
4.72067039,0.11173184,1,5.4753046181e-01,-5.6249707654e-01
4.74860335,0.11173184,1,5.4631977185e-01,-5.6181545382e-01
4.77653631,0.11173184,1,5.4511758620e-01,-5.6113777148e-01
4.80446927,0.11173184,1,5.4392380120e-01,-5.6046399834e-01
4.83240223,0.11173184,1,5.4273831507e-01,-5.5979410344e-01
4.86033520,0.11173184,1,5.4156102776e-01,-5.5912805609e-01
4.88826816,0.11173184,1,5.4039184096e-01,-5.5846582585e-01
4.91620112,0.11173184,1,5.3923065808e-01,-5.5780738251e-01
4.94413408,0.11173184,1,5.3807738415e-01,-5.5715269610e-01
4.97206704,0.11173184,1,5.3693192584e-01,-5.5650173692e-01
5.00000000,0.11173184,1,5.3579419140e-01,-5.5585447549e-01
0.00000000,0.22346369,1,1.5458781395e+00,-3.7352788801e-01
0.02793296,0.22346369,1,1.4794413489e+00,-4.4342507422e-01
0.05586592,0.22346369,1,1.4259076896e+00,-4.9375546411e-01
0.08379888,0.22346369,1,1.3810531729e+00,-5.3176842768e-01
0.11173184,0.22346369,1,1.3424561774e+00,-5.6142018993e-01
0.13966480,0.22346369,1,1.3085928950e+00,-5.8509131008e-01
0.16759777,0.22346369,1,1.2784395941e+00,-6.0431624058e-01
0.19553073,0.22346369,1,1.2512741437e+00,-6.2013612897e-01
0.22346369,0.22346369,1,1.2265675279e+00,-6.3328612790e-01
0.25139665,0.22346369,1,1.2039203048e+00,-6.4430215086e-01
0.27932961,0.22346369,1,1.1830233093e+00,-6.5358521404e-01
0.30726257,0.22346369,1,1.1636322538e+00,-6.6144201164e-01
0.33519553,0.22346369,1,1.1455507038e+00,-6.6811148115e-01
0.36312849,0.22346369,1,1.1286183092e+00,-6.7378275425e-01
0.39106145,0.22346369,1,1.1127024547e+00,-6.7860761865e-01
0.41899441,0.22346369,1,1.0976921982e+00,-6.8270937380e-01
0.44692737,0.22346369,1,1.0834937844e+00,-6.8618925379e-01
0.47486034,0.22346369,1,1.0700272631e+00,-6.8913117034e-01
0.50279330,0.22346369,1,1.0572239031e+00,-6.9160527176e-01
0.53072626,0.22346369,1,1.0450241849e+00,-6.9367065195e-01
0.55865922,0.22346369,1,1.0333762240e+00,-6.9537743916e-01
0.58659218,0.22346369,1,1.0222345181e+00,-6.9676842537e-01
0.61452514,0.22346369,1,1.0115589416e+00,-6.9788035095e-01
0.64245810,0.22346369,1,1.0013139305e+00,-6.9874492725e-01
0.67039106,0.22346369,1,9.9146781668e-01,-6.9938965800e-01
0.69832402,0.22346369,1,9.8199227910e-01,-6.9983850437e-01
0.72625698,0.22346369,1,9.7286188861e-01,-7.0011242763e-01
0.75418994,0.22346369,1,9.6405372753e-01,-7.0022983500e-01
0.78212291,0.22346369,1,9.5554706989e-01,-7.0020694836e-01
0.81005587,0.22346369,1,9.4732311093e-01,-7.0005811095e-01
0.83798883,0.22346369,1,9.3936473716e-01,-6.9979604410e-01
0.86592179,0.22346369,1,9.3165632976e-01,-6.9943206304e-01
0.89385475,0.22346369,1,9.2418359583e-01,-6.9897625943e-01
0.92178771,0.22346369,1,9.1693342265e-01,-6.9843765633e-01
0.94972067,0.22346369,1,9.0989375159e-01,-6.9782434035e-01
0.97765363,0.22346369,1,9.0305346831e-01,-6.9714357490e-01
